Step,AliveRuns,AvgCommitters,AvgContributors
711,3991,56.09,87.22
712,3991,56.19,87.33
713,3991,56.29,87.43
714,3991,56.38,87.53
715,3991,56.48,87.63
716,3991,56.57,87.73
717,3991,56.66,87.83
718,3991,56.76,87.93
719,3991,56.87,88.01
720,3991,56.96,88.11
721,3991,57.06,88.21
722,3991,57.14,88.33
723,3991,57.24,88.43
724,3991,57.34,88.52
725,3991,57.43,88.63
726,3991,57.53,88.73
727,3991,57.62,88.82
728,3991,57.72,88.92
729,3991,57.81,89.03
730,3991,57.91,89.14
731,3991,58.01,89.24
732,3991,58.10,89.34
733,3991,58.21,89.45
734,3991,58.31,89.55
735,3991,58.41,89.64
736,3991,58.51,89.74
737,3991,58.60,89.85
738,3991,58.70,89.95
739,3991,58.79,90.08
740,3991,58.88,90.19
741,3991,58.98,90.29
742,3991,59.08,90.39
743,3991,59.17,90.47
744,3991,59.27,90.58
745,3991,59.37,90.69
746,3991,59.47,90.79
747,3991,59.56,90.91
748,3991,59.66,91.01
749,3991,59.75,91.12
750,3991,59.84,91.22
751,3991,59.94,91.34
752,3991,60.03,91.45
753,3991,60.11,91.57
754,3991,60.21,91.68
755,3991,60.32,91.78
756,3991,60.41,91.88
757,3991,60.50,91.98
758,3991,60.59,92.08
759,3991,60.69,92.19
760,3991,60.79,92.29
761,3991,60.88,92.41
762,3991,60.99,92.50
763,3991,61.08,92.58
764,3991,61.18,92.68
765,3991,61.28,92.78
766,3991,61.38,92.87
767,3991,61.47,92.98
768,3991,61.57,93.08
769,3991,61.66,93.19
770,3991,61.76,93.28
771,3991,61.85,93.38
772,3991,61.94,93.50
773,3991,62.03,93.62
774,3991,62.14,93.72
775,3991,62.23,93.82
776,3991,62.32,93.92
777,3991,62.42,94.02
778,3991,62.51,94.12
779,3991,62.61,94.22
780,3991,62.71,94.32
781,3991,62.80,94.43
782,3991,62.89,94.56
783,3991,62.99,94.65
784,3991,63.08,94.77
785,3991,63.19,94.86
786,3991,63.28,94.97
787,3991,63.38,95.07
788,3991,63.48,95.17
789,3991,63.58,95.26
790,3991,63.67,95.37
791,3991,63.77,95.46
792,3991,63.86,95.58
793,3991,63.95,95.68
794,3991,64.05,95.79
795,3991,64.14,95.89
796,3991,64.24,95.98
797,3991,64.34,96.08
798,3991,64.43,96.19
799,3991,64.52,96.30
800,3991,64.63,96.40
801,3991,64.73,96.49
802,3991,64.82,96.59
803,3991,64.92,96.70
804,3991,65.02,96.81
805,3991,65.12,96.91
806,3991,65.22,97.03
807,3991,65.32,97.12
808,3991,65.42,97.22
809,3991,65.52,97.32
810,3991,65.61,97.43
811,3991,65.72,97.52
812,3991,65.81,97.65
813,3991,65.91,97.76
814,3991,66.00,97.85
815,3991,66.09,97.96
816,3991,66.19,98.05
817,3991,66.28,98.16
818,3991,66.39,98.24
819,3991,66.48,98.34
820,3991,66.57,98.44
821,3991,66.66,98.56
822,3991,66.76,98.67
823,3991,66.85,98.77
824,3991,66.94,98.89
825,3991,67.03,99.00
826,3991,67.13,99.11
827,3991,67.22,99.21
828,3991,67.32,99.30
829,3991,67.41,99.40
830,3991,67.52,99.50
831,3991,67.61,99.59
832,3991,67.70,99.70
833,3991,67.79,99.80
834,3991,67.89,99.92
835,3991,67.98,100.02
836,3991,68.08,100.12
837,3991,68.18,100.24
838,3991,68.26,100.35
839,3991,68.36,100.46
840,3991,68.46,100.55
841,3991,68.56,100.64
842,3991,68.65,100.76
843,3991,68.75,100.86
844,3991,68.84,100.97
845,3991,68.94,101.08
846,3991,69.03,101.19
847,3991,69.12,101.30
848,3991,69.21,101.39
849,3991,69.31,101.50
850,3991,69.41,101.61
851,3991,69.50,101.70
852,3991,69.60,101.80
853,3991,69.70,101.90
854,3991,69.79,102.02
855,3991,69.89,102.11
856,3991,69.98,102.23
857,3991,70.07,102.34
858,3991,70.18,102.44
859,3991,70.28,102.53
860,3991,70.38,102.63
861,3991,70.48,102.73
862,3991,70.58,102.82
863,3991,70.67,102.94
864,3991,70.76,103.05
